,cast,crew,id
0,"Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,John Morris,Erik von Detten,Laurie Metcalf,R. Lee Ermey,Sarah Freeman,Penn Jillette","John Lasseter,Joss Whedon,Andrew Stanton,Joel Cohen,Alec Sokolow,Bonnie Arnold,Ed Catmull,Ralph Guggenheim,Steve Jobs,Lee Unkrich,Ralph Eggleston,Robert Gordon,Mary Helen Leasman,Kim Blanchette,Marilyn McCoppen,Randy Newman,Dale E. Grahn,Robin Cooper,John Lasseter,Pete Docter,Joe Ranft,Patsy Bouge,Norm DeCarlo,Ash Brannon,Randy Newman,Roman Figun,Don Davis,James Flamberg,Mary Beth Smith,Rick Mackay,Susan Bradley,William Reeves,Randy Newman,Andrew Stanton,Pete Docter,Gary Rydstrom,Karen Robert Jackson,Chris Montan,Rich Quade,Michael Berenstein,Colin Brady,Davey Crockett Feiten,Angie Glocka,Rex Grignon,Tom K. Gurney,Jimmy Hayward,Hal T. Hickel,Karen Kiser,Anthony B. LaMolinara,Guionne Leroy,Bud Luckey,Les Major,Glenn McQueen,Mark Oftedal,Jeff Pidgeon,Jeff Pratt,Steve Rabatich,Roger Rose,Steve Segal,Doug Sheppeck,Alan Sperling,Doug Sweetland,David Tart,Ken Willard,Thomas Porter,Mark Thomas Henne,Oren Jacob,Darwyn Peachey,Mitch Prater,Brian M. Rosen,Sharon Calahan,Galyn Susman,William Cone,Shelley Daniels Lekven,Bob Pauley,Bud Luckey,Andrew Stanton,William Cone,Steve Johnson,Dan Haskett,Tom Holloway,Jean Gillmore,Desir챕e Mourad,Sonoko Konishi,Ann M. Rockwell,Julie M. McDonald,Robin Lee,Tom Freeman,Ada Cochavi,Dana Mulligan,Deirdre Morrison,Lori Lombardo,Ellen Devine,Lauren Beth Strogoff,Gary Rydstrom,Gary Summers,Tim Holland,Pat Jackson,Tom Myers,J.R. Grubbs,Susan Sanford,Susan Popovic,Dan Engstrom,Ruth Lambert,Mickie McGowan",862
1,"Robin Williams,Jonathan Hyde,Kirsten Dunst,Bradley Pierce,Bonnie Hunt,Bebe Neuwirth,David Alan Grier,Patricia Clarkson,Adam Hann-Byrd,Laura Bell Bundy,James Handy,Gillian Barber,Brandon Obray,Cyrus Thiedeke,Gary Joseph Thorup,Leonard Zola,Lloyd Berry,Malcolm Stewart,Annabel Kershaw,Darryl Henriques,Robyn Driscoll,Peter Bryant,Sarah Gilson,Florica Vlad,June Lion,Brenda Lockmuller","Larry J. Franco,Jonathan Hensleigh,James Horner,Joe Johnston,Robert Dalva,Nancy Foy,Kyle Balda,James D. Bissell,Scott Kroopf,Ted Field,Robert W. Cort,Thomas E. Ackerman,Chris van Allsburg,William Teitler,Greg Taylor,Jim Strain",8844
2,"Walter Matthau,Jack Lemmon,Ann-Margret,Sophia Loren,Daryl Hannah,Burgess Meredith,Kevin Pollak","Howard Deutch,Mark Steven Johnson,Mark Steven Johnson,Jack Keller",15602
3,"Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines,Dennis Haysbert,Michael Beach,Mykelti Williamson,Lamont Johnson,Wesley Snipes","Forest Whitaker,Ronald Bass,Ronald Bass,Ezra Swerdlow,Deborah Schindler,Terry McMillan,Terry McMillan,Terry McMillan,Kenneth Edmonds,Caron K",31357
4,"Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Kate McGregor-Stewart,Jane Adams,Eugene Levy,Lori Alan","Alan Silvestri,Elliot Davis,Nancy Meyers,Nancy Meyers,Albert Hackett,Charles Shyer,Adam Bernardi",11862
5,"Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Mykelti Williamson,Natalie Portman,Ted Levine,Tom Noonan,Tone Loc,Hank Azaria,Wes Studi,Dennis Haysbert,Danny Trejo,Henry Rollins,William Fichtner,Kevin Gage,Susan Traylor,Jerry Trimble,Ricky Harris,Jeremy Piven,Xander Berkeley,Begonya Plaza,Rick Avery,Hazelle Goodman,Ray Buktenica,Max Daniels,Vince Deadrick Jr.,Steven Ford,Farrah Forke,Patricia Healy,Paul Herman,Cindy Katz,Brian Libby,Dan Martin,Mario Roberts,Thomas Rosales, Jr.,Yvonne Zima,Mick Gould,Bud Cort,Viviane Vives,Kim Staunton,Martin Ferrero,Brad Baldridge,Andrew Camuccio,Kenny Endoso,Kimberly Flynn,Niki Harris,Bill McIntosh,Rick Marzan,Terry Miller,Kai Soremekun,Peter Blackwell,Trevor Coppola,Mary Kircher,Darin Mangan,Robert Miranda,Manny Perry,Iva Franks Singer,Tim Werner,Philip Ettington","Michael Mann,Michael Mann,Art Linson,Michael Mann,Elliot Goldenthal,Dante Spinotti,Pasquale Buba,William Goldenberg,Dov Hoenig,Tom Rolf,Bonnie Timmermann,Neil Spisak,Margie Stone McShirley,Deborah Lynn Scott,Bill Abbott,Per Hallberg,Terry D. Frazee,Paul H. Haines Jr.,Neil Krepela,Joel Kramer,Tony Brubaker,Anne H. Ahrens,Darryl M. Athons,Cate Hardman,Jane Brody,Donald Frazee,Oscar Mazzola,Dianne Wager,Anthony Lattanzio,David Le Vey,Leonard Engelman,Ilona Herman,Vera Mitchell,John Caglione Jr.,Ken Diaz,Neal J. Anderson,Duncan Burns,Hector C. Gika,Larry Kemp,Lauren Stephens,Gary Jay,James Muro,Frank Connor,Duane Manwiller,Chris Moseley,Frank Dorowsky,Michael Connell,Budd Carr,Matthew Booth,Vicki Hiatt,Thomas R. Bryant,Ray Boniker,Anna Behlmer,Ron Bartlett,Chris Jenkins,Andy Nelson,Mark Smith,Mick Gould,Tim Werner,Pieter Jan Brugge,Gusmano Cesaretti,Arnon Milchan,Christopher Cronyn,Michael Waxman,Alison E. McBryde,Marsha Bozeman,Jeff Wells,Doug Coleman,Philip Rogers,Jimmy Webb",949
6,"Harrison Ford,Julia Ormond,Greg Kinnear,Angie Dickinson,Nancy Marchand,John Wood,Richard Crenna,Lauren Holly,Dana Ivey,Fanny Ardant,Patrick Bruel,Paul Giamatti,Miriam Col처n,Elizabeth Franz,Val챕rie Lemercier,Becky Ann Baker,John C. Vennema,Margo Martindale,J. Smith-Cameron,Christine Luneau-Lipton,Michael Dees,Denis Holmes,Jo-Jo Lowe,Ira Wheeler,Philippa Cooper,Ayako Kawahara,Fran챌ois Genty,Guillaume Gallienne,In챕s Sastre,Phina Oruche,Andrea Behalikova,Jennifer Herrera,Kristina Kumlin,Eva Linderholm,Carmen Chaplin,Micheline Van de Velde,Joanna Rhodes,Alan Boone,Patrick Forster-Delmas,Kentaro Matsuo,Peter McKernan,Ed Connelly,Ronald L. Schwary,Alvin Lum,Siching Song,Phil Nee,Randy Becker,Susan Browning,Anthony Mondal,Peter Parks,Woodrow Asai,Eric Bruno Borgman,Michael Cline,Christopher Del Gaudio,Philippe Hartmann,Jerry Quinn,Dori Rosenthal","Sydney Pollack,Barbara Benedek,Sydney Pollack,John Williams,Fredric Steinkamp,Scott Rudin,David Rubin,Brian Morris,David Rayfiel,Peter Robb-King,Bernadette Mazur,Joseph A. Campayno,Lynda Gurasich,Stephen G. Bishop,Gary Jones,Ann Roth,George DeTitta Jr.,Amy Marshall,Miriam Schapiro,Danny Michael,Adam Jenkins,Chris Jenkins,Scott Millan,Myron Nettinga,Mitch Gettleman,Joe Earle,J. Paul Huntsman,Andrew Schmetterling,Adam Sawelson,Barbara Issak,Benjamin Beardwood,Mary A. Kelly,Myles Aronowitz,Brian Hamill,Giovanni Fiore Coltellacci,Giuseppe Rotunno,Kate Dowd,Juliet Polcsa,Michelle Matland,Donna Maloney,Karl F. Steinkamp,Lindsay Doran,Ronald L. Schwary,John Kasarda,Jean-Pierre Avice,Thomas A. Imperato,Ronald L. Schwary,Bill Kaufman,Ronna Kress,Sandrine Ageorges,Joseph E. Iberti,Joanny Carpentier,Katherine Kennedy",11860
7,"Jonathan Taylor Thomas,Brad Renfro,Rachael Leigh Cook,Michael McShane,Amy Wright,Eric Schweig,Tamara Mello","David Loughery,Stephen Sommers,Peter Hewitt,Mark Twain",45325
8,"Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,Raymond J. Barry,Ross Malinger,Whittni Wright","Peter Hyams,Karen Elise Baldwin,Gene Quintano,Moshe Diamant,Anders P. Jensen,Howard Baldwin,John Debney,Peter Hyams,Steven Kemper",9091
9,"Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Judi Dench,Gottfried John,Robbie Coltrane,Alan Cumming,Tch챕ky Karyo,Desmond Llewelyn,Samantha Bond,Michael Kitchen,Serena Gordon,Simon Kunz,Billy J. Mitchell,Constantine Gregory,Minnie Driver,Michelle Arthur,Ravil Isyanov","Martin Campbell,Ian Fleming,Jeffrey Caine,Bruce Feirstein,Barbara Broccoli,Tom Pevsner,Eric Serra,Tina Turner,Phil Meheux,Terry Rawlings,Debbie McWilliams,Peter Lamont,Andrew Ackland-Snow,Kathrin Brunner,Charles Dwight Lee,Michael Ford,Lindy Hemming,Michael G. Wilson,Anthony Waye,Michael France,Michael Boone,Steven Lawrence,Tony Graysmark,Neil Lamont,Pam Dixon,Robert Hathaway,Charles Bodycomb,June Randall,Harvey Harrison,Roger Pearce,Herbert Raditschnig,Tim Wooster,Keith Hamshere,George Whitear,Bill Pochetty,Luigi Bisioli,Steve Foster,Chris Corbould,Mara Bryan,Tim Grover,Peter Musgrave,Michael A. Carter,Graham V. Hartstone,John Hayward,Jim Shields,David John",710
